Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
04 Jan 2023,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
04 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
05 Jan 2023,Spend Money,CMT UK Ltd,,CMT UK Ltd,cmt uk ltd,Travelling,100.0,cmt uk ltd,True,,,
09 Jan 2023,Spend Money,CMT UK Ltd,,CMT UK Ltd,cmt uk ltd,Travelling,100.0,cmt uk ltd,True,,,
09 Jan 2023,Spend Money,Apcoa Parking,,Apcoa Parking,apcoa parking,Travelling,100.0,apcoa parking,True,,,
10 Jan 2023,Spend Money,Stansted Airport,,Stansted Airport,stansted airport,Travelling,100.0,stansted airport,True,,,
10 Jan 2023,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
11 Jan 2023,Spend Money,Trainline,,Trainline,trainline,Travelling,100.0,trainline,True,,,
11 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
12 Jan 2023,Spend Money,Cabvision,,Cabvision,cabvision,Travelling,100.0,cabvision,True,,,
12 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
13 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
13 Jan 2023,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
14 Jan 2023,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
14 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
14 Jan 2023,Spend Money,Ubitricity,,Ubitricity,ubitricity,Travelling,100.0,ubitricity,True,,,
14 Jan 2023,Spend Money,Taxi,,Taxi,taxi,Travelling,100.0,taxi,True,,,
17 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
17 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
18 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
19 Jan 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
21 Jan 2023,Spend Money,Ringgo Parking,,Ringgo Parking,ringgo parking,Travelling,100.0,ringgo parking,True,,,
